abduction	绑架
religious_leader	宗教领袖
remains	遗迹
remark	备注
remedy	补救
renovation	装修
rent	出租
rental	出租
repair	修理
repeat	重复
replacement	替代
reply	回复
report	报告
report_card	报告卡
reporter	记者
representation	表示
representative	代表
republic	共和国
republican	共和党人
request	请求
requirement	需求
rescuer	施救
research	研究
researcher	研究员
resentment	怨恨
residence	住宅
residency	住院医师
resident	居民
resistance	抵抗性
resolution	解析度
resort	采取
resource	资源
respondent	回答者
response	响应
responsibility	责任
restaurant	餐厅
restoration	恢复
restraint	克制
restriction	限制
result	结果
retailer	零售商
retirement	退休
retreat	撤退
return	返回
revelation	启示
review	评论
reviewer	评论家
revision	调整
revival	复兴
reward	奖励
rice	白饭
rider	骑士
rift	裂痕
rig	操纵
riot	暴动
rioting	骚乱
rise	上升
risk	风险
ritual	仪式
rival	对手
river	河
road	路
rock	岩石
rock_group	摇滚乐队
rock_star	摇滚明星
rocket	火箭
role	角色
romance	浪漫
romantic	浪漫
room	房间
round	回合
route	路线
routine	常规
row	行
royal	王室的
royalty	王权
rubbish	垃圾
ruin	废墟
rule	规则
ruler	统治者
ruling	裁决
run	跑
runner	跑步者
running	赛跑
runway	跑道
safety	安全
sailor	水手
saint	圣
salad	沙拉
sale	拍卖
salesman	推销员
sample	样品
sanctuary	避难所
sand	砂
satellite	卫星
savings_bank	储蓄银行
saying	话
scale	规模
scandal	丑闻
scenario	脚本
scene	现场
schedule	时间表
scheme	方案
scholar	学者
scholarship	奖学金
school	学校
school_board	学校董事会
school_year	学年
science	科学
scientific_research	科学研究
scientist	科学家
score	得分
screenplay	剧本
screenwriter	编剧
script	脚本
sculptor	雕塑家
sculpture	雕塑
sea	海
search	搜索
search_party	搜索队
seashore	海滨
seaside	海滨
season	季节
seat	座位
second_person	第二人称
secondary_school	中学
secrecy	保密
secret	秘密
secret_agent	密探
secret_police	秘密警察
secretary	秘书
sect	教派
section	部分
sector	扇形
security	安全
seed	种子
segment	分割
selection	选择
seller	卖家
selling	销售
seminar	研讨会
senate	参议院
senator	参议员
sensation	感觉
sense_organ	感觉器官
sentence	句子
sentiment	情绪
separate	分离
separation	分割
sergeant	军士
series	系列
serve	服务
server	服务器
service	服务
serviceman	军人
services	服务
session	会议
set	组
setting	设置
settlement	沉降
shade	阴凉处
shaft	轴
share	分享
shareholder	股东
sheet	片
sheik	酋长
shepherd	牧羊人
sheriff	郡治安官
shield	屏蔽
shift	转移
ship	船
shipping_company	航运公司
shirt	衬衫
shock	休克
shooter	射手
shooting	射击
shop	店
shopping	购物
shore	岸
short	短
short_story	短篇故事
shot	射击
show	节目
shower	淋浴
shrine	神社
shuttle	穿梭
sibling	兄弟
sickness	疾病
sideline	副业
sight	视力
sign	标志
sign_language	标志语言
signal	信号
singer	歌手
singing	唱歌
single	单
sister	妹妹
site	现场
situation	情况
size	尺寸
skill	技能
skin	皮肤
slaughter	屠宰
slide	滑动
slip	滑
slope	坡
slowdown	慢一点
smell	闻
smuggling	走私
snow	雪
soccer	足球
soccer_player	足球运动员
social_control	社会控制
social_group	社交群
social_science	社会科学
social_scientist	社会科学家
socialist	社会主义的
society	社会
soft_drink	汽水
software	软件
soil	泥
solar_energy	太阳能
soldier	士兵
solid	固体
solo	独奏
solution	解
son	儿子
song	歌曲
songwriter	作曲家
sound	声音
soundtrack	声带
source	资源
south	南
sovereign	君主
space	空间
space_shuttle	航天飞机
space_station	空间站
spacecraft	宇宙飞船
span	跨度
speaker	扬声器
specialist	专家
species	种类
spectator	观众
speech	言语
speech_act	言语行为
speed	速度
spell	拼写
sphere	球
spider	蜘蛛
spill	洒
spirit	精神
spiritual_leader	精神领袖
split	分裂
spokesman	发言人
spokesperson	发言人
spokeswoman	发言人
sport	运动
sportsman	运动员
spot	点
spouse	伴侣
spread	传播
spring	弹簧
spy	间谍
squad	队
stadium	体育场
staff	员工
stage	阶段
stairs	楼梯
stake	赌注
stalemate	僵持
stamp	邮票
stance	姿态
standard	标准
standing	常设
standing_army	常备军
star	星
start	开始
starter	起动机
state	州
statement	声明
statesman	政治家
station	站
statistic	统计
statistics	统计
statue	雕像
status	状态
stead	代替
step	步
stock	股票
stock_exchange	股票交易
stock_market	股市
stockbroker	股票经纪人
stockholder	股东
stocks	个股
stone	石
stop	停
store	商店
storm	风暴
story	故事
stranger	陌生人
strategist	战略家
strategy	战略
streak	条纹
stream	流
street	街
strength	强度
stress	强调
strike	罢工
structure	结构体
struggle	斗争
student	学生
studio	工作室
study	研究
stuff	东西
style	样式
subject	学科
subscriber	订户
substance	物质
substitute	替代
success	成功
successor	接班人
suffering	痛苦
suggestion	建议
suicide_bombing	自杀炸弹
suit	适合
sum	和
summary	摘要
summit	首脑
sun	太阳
superior	优越
supermarket	超级市场
supervision	监督
supervisor	监
supplement	补充
supplier	供应商
supply	供应
support	支持
supporter	支持者
supreme_court	最高法院
surface	表面
surge	浪涌
surgeon	外科医生
surgery	手术
surveillance	监控
survey	调查
survivor	幸存者
suspect	疑似
suspension	悬挂
suspicion	怀疑
swat	扑打
sweet	甜
swimmer	游泳者
swimming_pool	游泳池
swine	猪
switch	开关
symbol	符号
sympathy	同情
symphony	交响乐
symphony_orchestra	交响乐团
synagogue	会堂
system	系统
table	表
tactic	战术
takeover	接管
tale	故事
talent	天赋
talk	谈论
talk_show	脱口秀
tank	罐
tape	胶带
target	目标
taste	味道
taxpayer	纳税人
tea	茶
teacher	老师
team	球队
team_sport	团队运动
teammate	队友
tear	眼泪
technical_analysis	技术分析
technique	技术
technology	技术
telephone	电话
telephone_line	电话线
television	电视
television_program	电视节目
television_station	电视台
temperature	温度
temple	寺庙
tendency	趋势
tennis	网球
tennis_player	网球选手
tension	张力
term	术语
terminal	终奌站
termination	终止
terminology	术语
territory	领土
terror	恐怖
terrorism	恐怖主义
terrorist	恐怖分子
test	测试
testimony	见证
text	文本
text_file	文本文件
theater	剧院
theme	主题
theorist	理论家
theory	理论
therapy	治疗
thing	事情
thinking	思维
thought	思想
threat	威胁
three	三
threshold	阈
throw	扔
thrower	运动员
ticket	票
tiger	虎
time	时间
time_frame	大体时间
time_interval	时间间隔
time_series	时间序列
tissue	组织
title	标题
tobacco	烟草
today	今天
tomorrow	明天
tool	工具
topic	话题
tornado	龙卷风
touch	触摸
tour	游览
tourism	旅游
tourist	游客
tournament	比赛
tower	塔
town	镇
township	乡
track	跟踪
trade	贸易
trade_name	商品名
trader	商人
tradition	传统
traffic	交通
tragedy	悲剧
trail	落后
trailer	预告片
train	培养
trainer	训练者
training	训练
transaction	交易
transformation	转型
transgression	愆
transit	过境
transition	过渡
translator	翻译者
transmission	传输
transport	运输
transport_ship	运输船
transportation	运输
trash	垃圾
travel	旅行
traveler	旅客
treatment	治疗
treaty	条约
tree	树
trial	审讯
tribe	部落
trio	三人
trip	旅
triumph	胜利
troop	部队
trophy	杯
trouble	麻烦
truck	卡车
trust	信任
truth	真相
try	尝试
tsunami	海啸
tuition	学费
tumor	瘤
tune	调
tunnel	隧道
turn	转
twin	双胞胎
two	二
type	类型
type_species	类型种类
typhoon	台风
umpire	裁判
understanding	理解
undertaking	承诺
uniform	制服
union	联盟
unit	单元
universe	宇宙
university	大学
unknown	未知
unrest	动荡
update	更新
upgrade	升级
upheaval	动荡
usage	用法
use	采用
user	用户
vacation	假期
vacationer	游客
vaccine	疫苗
valet	代客
valley	谷
value	值
vampire	吸血鬼
variable	变量
vegetable	蔬菜
vegetation	植被
vehicle	车辆
venture	冒险
venue	会场
verdict	判决书
verse	诗
version	版
vertebrate	脊椎动物
vessel	容器
veto	否决
vice_president	副总统
vice_squad	副班长
vicinity	附近
victim	受害者
victory	胜利
video	视频
video_game	电子游戏
video_recording	视频录制
view	视图
viewer	观众
villa	别墅
village	村
violation	违反
violence	暴力
virus	病毒
visit	访问
visitor	游客
vitamin	维他命
volcano	火山
volleyball	排球
volume	体积
volunteer	志愿者
vote	投票
voter	选民
voting_system	投票系统
wage	工资
waiter	服务员
wall	壁
war	战争
war_zone	战区
warning	警告
warrior	战士
waste	浪费
watch	看
watchdog	看家狗
water	水
wave	波
way	方式
weapon	武器
weaponry	武器
weather	天气
web_page	网页
web_site	网站
website	网站
week	周
weekday	平日
weekend	周末
weekly	每周
welcome	欢迎
wheel	轮
whole	整个
widow	寡妇
wife	妻子
wildlife	野生动物
win	赢得
wind	风
wine	葡萄酒
winner	优胜者
winning	胜利
winnings	奖金
wire	线
wisdom	智慧
witness	见证人
wolf	狼
woman	女人
womanhood	女大十八变
wonder	奇迹
word	字
work	工作
worker	工人
working_group	工作小组
workman	工人
workplace	职场
workshop	作坊
workweek	每周工作时间
world	世界
world_record	世界纪录
worry	担心
worsening	恶化
worship	崇拜
worth	价值
wreck	破坏
wreckage	残骸
wrestler	摔跤手
wrestling	摔角
writer	作家
writing	写作
wrong	错误
wrongdoer	坏人
wrongdoing	坏事
yard	码
year	年
yellow	黄色
yesterday	昨天
young	年轻
youth	青年
zero	零
zone	区
