a_cup	一杯

deadline	最后期限

deadlock	僵局

deaf	聋

deal	合同

dealer	零售商

dean	院长

dear	亲

death	死亡

death_bed	死亡床

death_camp	死亡集中营

death_cap	死亡上限

death_certificate	死亡证明

death_duty	死刑

death_house	死屋

death_march	死亡行军

death_mask	死亡面具

death_metal	死亡金属

death_panel	死亡小组

death_penalty	判死刑

death_rate	死亡率

death_ray	死亡激光

death_row	死囚

death_sentence	死刑

death_spiral	死亡螺旋

death_squad	死亡小队

death_star	死星

death_tax	死亡税

death_toll	死亡人数

death_warrant	死刑令

death_wish	死亡之愿

debate	辩论

debris	废墟

debris_field	碎片场

debt	债务

debt_burden	债务负担

debt_instrument	债务工具

debut	登场

decade	十

deceased	死者

decision	决定

decision_making	做决定

decision_tree	决策树

deck	甲板

deck_chair	躺椅

declaration	宣言

decline	下降

decoration	装饰

decrease	减少

decree	法令

dedication	贡献

deep	深

deep_cover	隐藏的很好

deep_freeze	深度冻结

deep_sea	深海

deep_space	深空

deep_state	深层状态

deep_water	深水

deer	鹿

def	高清

default	默认

defeat	打败

defence	防御

defendant	被告

defender	辩护人

defense	防御

defense_mechanism	防御机制

defenseman	防守

defensive	防御性

defensive_back	防守后卫

defensive_midfielder	防守型中场

defensive_tackle	防守铲球

defiance	蔑视

deficit	赤字

definition	定义

definitive	明确

degree	学位

deity	神

del	德尔

delay	延迟

delays	延迟

delegate	代表

delegation	代表团

deliberation	审议

delicate	精巧

delight	喜

delivery	交货

delivery_room	产房

dell	戴尔

delta	三角洲

delta_connection	三角连接

delta_wing	三角翼

demand	需求

demand_note	需求单

demise	让位

democracy	民主

democrat	民主党人

demographic	人口

demographics	人口统计学

demolition	拆除

demonstration	示范

demonstrator	示威者

den	巢穴

denial	否认

density	密度

departed	死者

department	部

department_store	百货商店

departure	离开

dependence	依赖

dependent	依赖的

deploy	部署

deployment	部署

deportation	放逐

deposit	存款

depot	仓库

depression	萧条

depth	深度

depth_charge	深度冲锋

deputy	副

derby	德比

deregulation	放松管制

descent	降落

description	描述

desert	沙漠

desert_island	沙漠荒岛

design	设计

design_pattern	设计模式

designated_hitter	指定击球手

designation	指定

designer	设计师

designer_baby	设计师宝贝

designer_drug	设计药物

designer_label	制作人商标

desire	欲望

desk	台

desk_job	桌面工作

desktop	桌面

desktop_computer	台式电脑

desktop_environment	桌面环境

destination	目的地

destiny	命运

destroyer	驱逐舰

destruction	毁坏

detail	详情

detainee	被拘留者

detection	发现

detective	侦探

detention	拘留

detention_centre	拘留所

deterioration	恶化

determination	判定

devastation	毁坏

developer	开发人员

development	发展

device	设备

device_driver	设备驱动

devil	魔鬼

devil_dog	恶魔狗

devon	德文

diabetes	糖尿病

diagnosis	诊断

dial	拨号

dialect	方言

dialogue	对话

diameter	直径

diamond	钻石

diamond_ring	钻石戒指

diarist	记日记

diary	日记

dick	迪克

dictator	独裁者

dictatorship	专政

dictionary	字典

dictionary_attack	字典攻击

dictionary_form	字典形式

die	死

died	死亡

diesel	柴油机

diesel_engine	柴油发动机

diet	饮食

difference	区别

difference_engine	差异引擎

difference_equation	差分方程

different	不同

difficulty	困难

difficulty_level	难度级别

dig	挖

digging	挖掘

digit	数字

digital_camera	数码相机

digital_library	数字图书馆

digital_media	数字媒体

digital_signal	数字信号

digital_television	数字电视

digital_video	数字视频

dignity	尊严

dilemma	困境

dimension	尺寸

dining	用餐

dining_car	餐车

dining_facility	餐饮设施

dining_hall	食堂

dining_room	饭厅

dining_table	餐桌

dinner	晚餐

dinner_jacket	晚宴外套

dinner_party	晚餐聚会

dinner_plate	餐盘

dinner_table	饭桌

dinner_time	晚餐时间

diocese	教区

dioxide	二氧化碳

dip	蘸

diploma	文凭

diplomacy	外交

diplomat	外交官

direct_mail	直邮

direct_marketing	直销

direction	方向

directive	指示

director	导向器

dirt	污垢

dirty_dancing	贴面舞

dirty_money	肮脏钱

disability	失能

disabled	残

disagreement	异议

disambiguation	消歧

disappearance	消失

disappointment	失望

disarmament	裁军

disaster	灾害

disaster_area	灾区

disc	圆盘

disc_drive	光碟机

disc_golf	光盘高尔夫

discharge	排出

discipline	学科

disclose	透露

disclosure	泄露

discount	折扣

discount_rate	折扣率

discount_store	折扣店

discovery	发现

discrimination	区别

discussion	讨论

disease	疾病

dish	碟

disk	磁盘

disk_drive	磁盘驱动器

disk_image	磁盘映像

dismissal	解雇

disorder	紊乱

dispatch	调度

display	显示

display_case	陈列柜

disposal	处置

dispute	争议

dispute_resolution	争议解决

disruption	瓦解

dissent	异议

dissenter	异己

dissident	持不同政见

dissolution	解散

distance	距离

distance_education	远程教育

distance_formula	距离公式

distance_learning	远程教育

distinction	分别

distress	苦难

distribution	分配

distribution_channel	分销渠道

distributor	经销商

district	区

district_attorney	地区检察官

district_heating	区域供热

disturbance	骚乱

ditch	沟

dive	潜水

diversity	多样

divide	划分

dividend	股利

divine	神圣

divine_right	神权

diving	潜水

diving_suit	潜水装

division	师

division_ring	分割环

divorce	离婚

dock	码头

doctor	医生

doctorate	博士学位

doctrine	教义

document	文献

documentary	记录

documentation	文件

dodge	躲闪

dog	狗

dog_collar	狗项圈

dog_day	狗日

dog_fight	狗打架

dog_food	狗粮

dog_house	狗屋

dog_meat	狗肉

dog_tag	狗牌

dole	悲

doll	娃娃

dollar	美元

dollar_bill	美元的钞票

dollar_sign	美元符号

dollar_store	美元商店

domain	域

domain_name	域名

domain_theory	领域理论

dome	拱顶

domestic	国内

domestic_violence	家庭暴力

dominance	霸主地位

dominant	优势

domination	统治

donation	捐款

dong	东

donna	唐娜

donor	捐赠者

door	门

door_frame	门框

doping	兴奋剂

dose	剂量

dot	点

dot_product	点积

double	双

double_act	双重行动

double_agent	双重代理

double_star	双星

doubt	怀疑

downhill	下坡

downing	唐宁

download	下载

downtown	市中心

downturn	低迷

dozen	打

draft	草案

draft_horse	起草

drafting	制图

drag	拖动

drag_king	拖王

drag_queen	皇后乐队

drag_race	阻力赛

drag_racing	飙车

dragging	拖延

dragon	龙

dragon_boat	龙舟

dragon_fruit	火龙果

dragon_tree	龙树

drain	排水

drainage	引流

drake	鸭

drama	戏剧

drama_queen	戏剧女王

draw	画

drawing	画画

drawing_board	绘图板

drawing_room	客厅

dream	梦想

dream_team	梦之队

dress	连衣裙

dress_code	着装要求

dressing	敷料

drill	钻头

drill_bit	钻头

drilling	钻孔

drink	喝

drink_driver	酒后驾驶

drinking	喝

drinking_age	饮酒年龄

drinking_game	饮酒游戏

drinking_straw	吸管

drinking_water	饮用水

drive	驾驶

drive_time	开车时间

drive_train	传动系

drive_wheel	驱动轮

driver	司机

driving	主动

drop	下降

drop_goal	下降目标

drop_shot	投篮

drop_zone	拖放区

drought	干旱

drove	开车

drug	药物

drug_abuse	吸毒

drug_baron	毒bar

drug_deal	毒品交易

drug_dealer	毒贩子

drug_lord	毒枭

drug_store	药店

drug_test	药检

drum	鼓

drum_major	鼓专业

drummer	鼓手

drunk	醉

drunk_driving	酒后驾车

dry	干

dry_cleaning	干洗

dry_dock	干船坞

dry_eye	干眼症

dry_ice	干冰

dry_lake	干lake的湖

dual	双

duck	鸭

due	应有

due_process	正当程序

dug	挖

duke	公爵

duma	杜马

dump	倾倒

dump_truck	垃圾车

duo	二人

duration	持续时间

dust	灰尘

dust_bin	垃圾桶

dust_storm	尘暴

dutch	荷兰人

duty	义务

duty_cycle	占空比

dwelling	住宅

dying	垂死

dynamic	动态

dynamics	动力学

dynasty	王朝

eager	急于

eagle	鹰

eagle_eye	鹰眼

ear	耳

ear_canal	耳道

earl	伯爵

early	早

earn	赚

earnest	认真

earnings	收益

earth	地球

earth_metal	土金属

earth_science	地球科学

earth_sign	地球标志

earthquake	地震

earthquake_engineering	地震工程

ease	缓解

east	东

east_africans	东非人

eastern_europeans	东欧人

eastern_hemisphere	东半球

easy_listening	轻松听

easy_money	快钱

eating	吃

eating_disorder	饮食失调

echo	回声

eclipse	日食

ecology	生态

economic_capital	经济资本

economic_crisis	经济危机

economic_growth	经济增长

economic_rent	经济租金

economics	经济学

economist	经济学家

economy	经济

economy_car	经济车

edge	边缘

editing	编辑

edition	版

editor	编辑

editorial	社论

education	教育

educational	教育性

educational_technology	教育技术

educator	教育家

effect	影响

effect_size	规模效应

effectiveness	效用

efficiency	效率

effort	功夫

egg	蛋

egg_case	蛋盒

egg_cell	卵细胞

egg_hunt	寻蛋

egg_roll	蛋卷

eight	八

elbow	弯头

elbow_room	肘室

elder	长老

elect	选

election	选举

electoral_college	选举团

electoral_district	选区

electoral_fraud	选举欺诈

electorate	选民

electric	电动

electric_blue	电蓝

electric_car	电子车

electric_charge	电荷

electric_circuit	电路

electric_current	电流

electric_energy	电能

electric_field	电场

electric_guitar	电吉他

electric_guitarist	电吉他手

electric_motor	电动马达

electrical	电动

electrical_circuit	电路

electrical_contact	电接触

electrical_engineering	电机工程

electricity	电力

electronic_communication	电子通讯

electronic_game	电子游戏

electronics	电子产品

element	元件

elementary_school	小学

elephant	象

elephant_bird	象鸟

elevation	海拔

elevator	电梯

eleven	十一

eligibility	合格

eligible	合格

elimination	消除

elite	原种

ellen	艾伦

elsewhere	别处

email	电子邮件

embargo	禁运

embarrassment	困窘

embassy	大使馆

embrace	拥抱

emergence	紧急情况

emergency	急

emergency_exit	紧急出口

emergency_landing	紧急着陆

emergency_light	紧急灯

emergency_medicine	急诊医学

emergency_response	紧急反应

emergency_room	急救室

emergency_service	紧急服务

emergency_services	紧急服务

emission	发射

emission_line	发射线

emma	艾玛

emotion	感情

emotional_intelligence	情商

emperor	皇帝

emphasis	重点

empire	帝国

employ	采用

employee	雇员

employee_benefit	员工福利

employer	雇主

employment	雇用

employment_agency	职业介绍所

employment_contract	劳动合同

empress	皇后

empty	空

enclave	飞地

encounter	遭遇

encounters	遭遇

encouragement	鼓励

end	结束

end_board	端板

end_game	结束游戏

end_line	终点线

end_product	最终产品

end_run	结束运行

end_user	最终用户

end_zone	末端区域

endangered_species	濒危物种

endemic	流行

ending	结尾

endorsement	背书

endowment	天赋

enemy	敌人

energy	能源

energy_bar	能量棒

energy_crisis	能源危机

energy_drink	能量饮料

energy_expenditure	能量消耗

energy_field	能量场

energy_level	能级

energy_mix	能量混合

energy_poverty	能源贫困

energy_shot	能量射门

energy_source	能量源

energy_transfer	能量转移

enforcement	强制

eng	工程

engagement	订婚

engagement_ring	订婚戒指

engine	发动机

engine_room	机房

engine_trouble	引擎故障

engineer	工程师

engineering	工程

english	英语

enlargement	放大

enlisted	入伍

enrichment	丰富

enrollee	登记者

enrollment	注册

ensemble	合奏

enter	输入

enterprise	企业

enterprise_architecture	企业架构

entertainer	艺人

entertainment	娱乐

entertainment_center	娱乐中心

enthusiasm	热情

entire	整个

entrance	入口

entrance_examination	入学考试

entrepreneur	企业家

entry	条目

environment	环境

environment_variable	环境变量

environmental_protection	环保

environmental_science	环境科学

environmental_scientist	环境科学家

envoy	使者

enzyme	酶

epic	史诗

epidemic	疫情

episode	插曲

equal	等于

equality	平等

equation	方程

equipment	设备

equity	公平

equivalent	当量

era	时代

eric	埃里克

ernest	欧内斯特

erosion	侵蚀

error	错误

error_bar	错误栏

error_function	错误功能

error_message	错误信息

eruption	喷发

escalation	升级

escape	逃逸

escape_artist	逃脱大师

escape_clause	转义条款

escort	护送

escort_agency	护送机构

espionage	间谍

essay	文章

essence	本质

essential	必要

essential_oil	香精油

est	美东时间

established_church	建立的教会

establishment	编制

estate	房地产

estate_agent	房地产经纪人

estate_car	旅行车

estate_sale	房地产销售

estate_tax	遗产税

estimate	估计

eta	ETA

eternal_life	永恒的生命

ethanol	乙醇

ethical	合乎道德的

ethics	伦理

ethnic	民族

ethnic_group	民族

ethnic_minority	少数族裔

euro	欧元

eurozone	欧元区

evacuation	疏散

evacuation_slide	疏散滑道

evaluation	评测

evaluator	评估

evangelical	福音

eve	前夕

even	甚至

evening	晚间

evening_dress	晚礼服

evening_star	晚星

event	事件

event_horizon	事件视界

everyday	每天

evidence	证据

evil	邪恶

evolution	演化

exam	考试

exam_paper	试卷

examination	检查

examiner	检查员

example	例

excellence	卓越

exception	例外

excess	过量

exchange	交换

exchange_rate	汇率

exchange_student	交换学生

excitement	激动

exclusion	排除

exclusive	独家

excuse	借口

execution	执行

executive	行政人员

executive_branch	行政部门

executive_committee	执行委员会

executive_mansion	行政大厦

executive_officer	主管人员

executive_order	行政命令

executive_producer	执行制片人

exemption	豁免

exercise	行使

exercise_ball	健身球

exercise_book	练习簿

exhibit	展示

exhibition	展览

exile	流亡

existence	存在

exit	出口

exit_poll	退出民意调查

exit_strategy	退出策略

exodus	出埃及记

exotic	异国情调

expanded_universe	扩展的宇宙

expansion	扩张

expansion_joint	伸缩缝

expansion_pack	扩展包

expansion_slot	扩充槽

expectation	期望

expedition	远征

expenditure	支出

expense	费用

expense_account	费用账户

experience	经验

experience_point	经验点

experiment	实验

experimental	试验

expert	专家

expert_system	专业系统

expertise	专门知识

explanation	说明

exploit	利用

exploitation	开发

exploitation_film	剥削电影

exploration	勘探

explorer	探险者

exploring	探索

explosion	爆炸

explosive	爆炸物

expo	博览会

export	出口

exporter	出口

exposure	曝光

express	表达

express_train	快速列车

expression	表达

expressway	高速公路

expulsion	开除

extension	延期

extent	程度

exterior	外观

external_link	外部链接

extinct_language	灭绝的语言

extinction	灭绝

extra	额外

extra_time	额外的时间

extract	提取

extradition	引渡

extreme	极端

extreme_programming	极限编程

extreme_sport	极限运动

extremism	极端主义

extremist	极端主义

extremity	末端

eye	眼睛

eye_bank	眼库

eye_candy	秀色可餐

eye_chart	视力表

eye_contact	眼神接触

eye_doctor	眼科医生

eye_drop	眼药水

eye_patch	眼罩

eye_shadow	眼影

eye_witness	目击者

f_word	F字

fabric	布

face	面对

face_mask	面具

face_time	视频对话

face_value	面值

facebook	Facebook的

facial	面部

facility	设施

facing	面对

fact	事实

fact_sheet	情况说明书

faction	派

factor	因子

factory	厂

factory_farm	工厂农场

factory_pattern	工厂模式

factory_team	工厂团队

faculty	学院

fail	失败

failing	失败

failure	失败

failure_rate	失败率

fair	公平

fair_game	公平的游戏

fair_play	公平竞争

fair_trade	公平交易

fair_use	合理使用

fairness	公平

fairy	仙女

faith	信仰

faithful	可信

fake	假

fall	秋季

fall_guy	替死鬼

fall_line	下降线

fallen	堕落

fallen_angel	堕落的天使

falling	落下

fallout	掉出来

falls	下降

fame	名誉

familiar	熟

family	家庭

family_business	家族企业

family_doctor	家庭医生

family_history	家史

family_man	以家庭为重的（男）人

family_medicine	家庭医学

family_name	姓

family_planning	家庭计划

family_restaurant	家庭餐厅

family_reunion	家庭团聚

family_room	家庭房

family_tree	家谱

family_values	家庭价值观

famine	饥荒

fan	风扇

fan_base	粉丝群

fan_club	粉丝俱乐部

fan_fiction	粉丝小说

fan_mail	粉丝的邮件

fan_palm	扇形棕榈

fan_service	粉丝服务

fancy	幻想

fantasy	幻想

fantasy_football	梦幻足球

fantasy_land	梦幻之地

far	远

far_cry	相距甚远

fare	票价

farewell	告别

farm	农场

farm_animal	农场动物

farm_team	农场队

farm_worker	农场工人

farmer	农民

farming	农业

farmland	农田

fashion	时尚

fashion_designer	时装设计师

fashion_house	时装屋

fashion_model	时装模特

fashion_plate	时尚板

fashion_police	时尚警察

fashion_sense	时尚感

fashion_show	时装秀

fashion_statement	时尚宣言

fast	快速

fast_bowler	快速投球手

fast_food	快餐

faster	快点

fat	脂肪

fat_cat	肥猫

fatah	法塔赫

fatal	致命

fate	命运

father	父亲

father_figure	父亲的形象

fatigue	疲劳

fault	故障

fault_line	断层线

favor	偏爱

favorite	喜爱

favour	偏爱

favourite	喜爱

fax	传真

fax_machine	传真机

fear	恐惧

feast	盛宴

feast_day	节日

feat	功绩

feature	特征

feature_film	长片

feature_phone	功能手机

feature_story	精选故事

fed	美联储

federal	联邦

federal_government	联邦政府

federal_official	联邦官员

federation	联邦

fee	费用

feed	饲料

feedback	反馈

feeding	馈送

feeling	感觉

feet	脚

fell	下跌

fellow	同伴

fellowship	奖学金

felon	重犯

felony	重罪

felt	毡

female	女

feminist	女权主义者

fence	篱笆

ferry	渡船

ferry_boat	渡船

fertilizer	肥料

festival	节

feud	世仇

fever	发热

fever_pitch	发烧音高

fiat	菲亚特

fiat_currency	法定货币

fiat_money	法定货币

fiber	纤维

fiction	小说

fidelity	保真度

field	领域

field_artillery	野战炮兵

field_day	野外日

field_goal	射门得分

field_hockey	曲棍球

field_hospital	野战医院

field_house	野外房

field_line	场线

field_marshal	元帅

field_officer	外勤人员

field_theory	场论

field_trip	实地考察

field_unit	现场部队

field_work	现场工作

fielder	外野手

fielding	守备

fifth	第五

fifty	五十

fight	斗争

fight_song	打架

fighter	战斗机

fighter_aircraft	战斗机

fighter_bomber	战斗轰炸机

fighter_pilot	战斗机飞行员

fighter_plane	战斗机

fighting	战斗

fighting_fish	斗鱼

fighting_game	格斗游戏

figure	数字

figure_skating	花样滑冰

file	文件

file_cabinet	文件柜

file_extension	文件扩展名

file_sharing	文件共享

file_size	文件大小

file_system	文件系统

file_type	文件类型

filed	提交

filing	备案

filing_cabinet	文件柜

filing_system	备案系统

fill	填

filling	填充

filling_station	加油站

film	电影

film_crew	剧组人员

film_industry	电影业

film_maker	电影制片人

film_making	电影制作

film_set	电影集

film_speed	电影速度

film_star	电影明星

filming	拍戏

filmmaker	电影制片人

filter	过滤

fin	鳍

final	最后

final_cut	晋级决赛

finale	压轴

finalist	决赛

finance	金融

financial_crisis	金融危机

financial_instrument	金融工具

financial_investment	金融投资

financial_market	金融市场

financial_statement	财务报告

financier	金融家

financing	融资

find	找

finding	发现

fine	精细

fine_art	美术

finest	最好的

finger	手指

finger_food	小点心

finger_ring	戒指

finish	完

finish_line	终点线

finishing	精加工

finishing_school	完成学业

fire	火

fire_alarm	火警

fire_brigade	消防队

fire_chief	消防队长

fire_code	消防法规

fire_company	消防队

fire_department	消防部门

fire_drill	消防演习

fire_engine	消防车

fire_escape	火灾逃生

fire_fighting	消防

fire_marshal	消防元帅

fire_sale	甩卖

fire_service	消防

fire_sign	消防标志

fire_station	消防局

fire_tower	火塔

fire_truck	消防车

fireman	消防队员

fireworks	烟花

firing	射击

firing_line	射击线

firing_pin	撞针

firing_range	射击范围

firing_squad	射击队

firm	公司

first	第一

first_aid	急救

first_base	一垒

first_baseman	一垒手

first_blood	第一滴血

first_choice	第一选择

first_city	第一城市

first_contact	第一次接触

first_grade	一年级

first_lady	第一夫人

first_language	第一语言

first_lieutenant	中尉

first_love	初恋

first_mate	大副

first_minister	第一部长

first_name	名字

first_officer	副驾驶

first_person	第一个人

first_principle	第一原则

first_sergeant	第一军士

first_team	一线队

first_time	第一次

first_woman	第一个女人

fiscal	财

fish	鱼

fish_cake	鱼饼

fish_eagle	鱼鹰

fish_farm	养鱼场

fish_farming	养鱼

fish_finger	鱼手指

fish_food	鱼食

fish_hook	鱼钩

fish_kill	鱼杀

fish_pond	鱼池

fish_sauce	鱼露

fish_tank	鱼缸

fisher	费舍尔

fisher_cat	费希尔猫

fishing	钓鱼

fishing_boat	渔船

fishing_expedition	钓鱼探险

fishing_line	钓鱼线

fishing_pole	钓鱼竿

fishing_rod	钓竿

fist	拳头

fit	适合

fitness	身体素质

fitness_center	健身中心

fitness_model	健身模型

fitting	配件

five	五

fix	固定

fixture	夹具

flag	旗

flag_captain	船长

flag_carrier	旗载体

flag_day	国旗纪念日

flag_football	旗足球

flag_officer	船长

flag_pole	旗杆

flag_stop	标志停止

flagship	旗舰

flame	火焰

flame_test	火焰测试

flame_war	火焰战争

flash	闪

flash_card	闪存卡

flash_drive	随身碟

flash_fiction	快闪小说

flash_flood	暴洪

flash_memory	快闪记忆体

flash_point	闪点

flat	平面

flavor	味道

fledgling	雏鸟

fleet	舰队

flesh	肉

fletcher	弗莱彻

flexibility	灵活性

flexible	灵活

flight	飞行

flight_crew	机组人员

flight_engineer	飞行工程师

flight_lieutenant	飞行中尉

flight_mode	飞行模式

flight_path	飞行路径

flight_plan	飞行计划

flight_risk	飞行风险

flip	翻动

float	浮动

flood	洪水

flood_gate	防洪闸

flood_plain	泛洪平原

flood_stage	洪水期

flooding	洪水

floor	地板

floor_exercise	自由体操

floor_plan	平面图

flora	植物群

flour	面粉

flow	流

flow_chart	流程图

flow_control	流量控制

flower	花

flower_bed	花床

flower_girl	花季少女

flower_head	花头

flower_power	花的力量

flowing	流动

flu	流感

fluid	流体

fluid_intelligence	流体智能

flurry	慌张

fly	飞

fly_ball	飞球

fly_fishing	钓飞鱼

flying_ace	飞行王牌

flying_circus	飞行马戏团

flying_fish	飞鱼

flying_fox	飞狐

focus	焦点

focus_group	焦点小组

foe	敌人

fog	多雾路段

foil	挫败

fold	折

foley	弗利

folk	民间

folk_culture	民俗文化

folk_dance	民间舞蹈

folk_hero	民间英雄

folk_music	民间音乐

folk_religion	民间宗教

folk_rock	民间摇滚

folk_singer	民谣歌手

folk_song	民歌

folk_tale	民间故事

follower	信徒

following	以下

food	餐饮

food_bank	食物银行

food_chain	食物链

food_court	美食广场

food_crop	粮食作物

food_desert	食物沙漠

food_drive	食物驱动

food_fight	食物大战

food_fish	食用鱼

food_plant	食品厂

food_poisoning	食物中毒

food_processor	食品加工机

food_pyramid	食物金字塔

food_stamp	粮票

food_supplement	食物供给

food_web	食物网

fool	傻子

foot	脚丫子

foot_fault	脚伤

foot_passenger	步行乘客

foot_race	竞走

foot_soldier	步兵

footage	镜头

football	足球

football_field	足球场

football_player	足球运动员

footballer	足球运动员

force	力

force_field	力场

ford	涉

forecast	预测

forehand	正手

foreign	国外

foreign_country	外国

foreign_exchange	外汇交易

foreign_language	外语

foreign_minister	外交大臣

foreign_policy	对外政策

foreigner	外国人

forensic_science	法医学

forest	森林

forest_fire	森林火灾

forest_green	森林绿

forestry	林业

forever	永远

forge	锻造

forgotten	忘记了

fork	叉子

form	形成

form_factor	构成因素

form_letter	求职信

formal	正式

formal_system	形式系统

format	格式

formation	编队

former	前任的

formula	式

fort	堡

forth	向前

fortress	要塞

fortune	幸运

forty	四十

forum	论坛

forward	向前

fossil	化石

fossil_fuel	化石燃料

fossil_record	化石记录

foster	培育

foster_family	寄养家庭

foul	犯规

found	发现

foundation	基础

founder	创办人

founder_effect	创始人效应

founders	创始人

founding	创建

founding_father	开国元勋

founding_member	创始成员

fountain	喷泉

four	四

four_square	四方

fourth	第四

fowler	捕鸟

fox	狐狸

fra	FRA

fraction	分数

frame	帧

frame_rate	帧率

framework	骨架

franc	法郎

franchise	专营权

franco	佛朗哥

frank	坦率

frankfurt	法兰克福

franklin	富兰克林

fraud	骗局

free	自由

free_agent	自由球员

free_energy	自由能

free_enterprise	自由企业

free_fall	自由落体

free_market	自由市场

free_press	新闻自由

free_radical	自由基

free_rider	搭顺风车

free_software	免费软件

free_speech	言论自由

free_state	自由邦省

free_trade	自由贸易

free_will	自由意志

free_world	自由的世界

free_zone	自由区

freed	释放

freedom	自由

freedom_fighter	自由战士

freedom_ride	自由骑

freedom_rider	自由骑士

freeman	弗里曼

freestyle	自由泳

freeway	高速公路

freeze	冻结

freezing	冷冻

freezing_point	冰点

freight	货物

freight_car	货运车

freight_train	货运火车

frequency	频率

fresh	新鲜

fresh_air	新鲜空气

freshman	新生

friction	摩擦

fried_rice	炒饭

friend	朋友

friendly	友好

friendship	友谊

fringe	条纹

fringe_group	边缘群

frog	青蛙

front	面前

front_bench	前排长椅

front_door	前门

front_end	前端

front_group	前组

front_line	前线

front_man	前锋

front_page	首页

front_row	前排

front_runner	领跑者

front_yard	前院

frontier	边境

frost	霜

fruit	水果

fruit_bat	水果蝙蝠

fruit_cake	水果蛋糕

fruit_fly	果蝇

fruit_juice	果汁

fruit_loop	水果圈

fruit_tree	果树

frustration	挫折

fuel	汽油

fuel_cell	燃料电池

fuel_injection	燃油喷射

fuel_poverty	加剧贫困

fuel_station	加油站

fuel_tank	油箱

fugitive	逃亡

fulham	富勒姆

full	充分

full_house	客满

full_moon	满月

full_name	全名

fuller	富勒

fun	开玩笑

fun_house	游乐园

function	功能

functional	实用

functioning	功能

fund	基金

fundamental	基本的

fundamentalist	原教旨主义

funding	资金

fundraising	筹款

funeral	葬礼

funeral_home	殡仪馆

funk	恐惧

funny	滑稽

funny_car	有趣的车

fur	毛皮

furniture	家具

further_education	继续教育

fury	愤怒

fusion	聚变

future	未来

g_force	g力

gain	获得

gala	节日

galaxy	星系

galaxy_group	星系群

gallery	画廊

gallon	加仑

gamble	赌

gambling	赌博

game	游戏

game_bird	猎鸟

game_board	游戏板

game_console	游戏机

game_engine	游戏引擎

game_face	游戏面

game_fish	猎鱼

game_master	游戏大师

game_plan	比赛计划

game_point	游戏点

game_score	游戏成绩

game_show	游戏节目

game_theory	博弈论

gaming	赌博

gang	结伙

gang_rape	轮奸

gap	间隙

gap_junction	间隙连接

gap_year	空档年

garage	车库

garage_door	车库门

garage_rock	车库摇滚

garage_sale	车库出售

garbage	垃圾

garbage_bin	垃圾桶

garbage_can	垃圾桶

garbage_collection	垃圾收集

